IP0000000001, EM0000000001, PDC0000000001, 12/01/2020, 100000
IP0000000002, EM0000000001, PDC0000000001, 13/01/2020, 75000
IP0000000003, EM0000000003, PDC0000000003, 24/10/2020, 33600
IP0000000004, EM0000000001, PDC0000000001, 13/02/2021, 195000
IP0000000005, EM0000000001, PDC0000000001, 13/02/2021, 195000
IP0000000006, EM0000000001, PDC0000000001, 12/11/2021, 1000
IP0000000007, EM0000000001, PDC0000000001, 12/12/2021, 195000
IP0000000009, EM0000000001, PDC0000000001, 12/12/2021, 355000
IP0000000010, EM0000000002, PDC0000000002, 23/12/2021, 45000
IP0000000011, EM0000000003, PDC0000000003, 03/01/2022, 260000
IP0000000008, EM0000000002, PDC0000000003, 12/02/2022, 312500
IP0000000012, EM0000000007, PDC0000000004, 02/05/2022, 410000
IP0000000013, EM0000000003, PDC0000000004, 15/07/2022, 438000
IP0000000014, EM0000000008, PDC0000000005, 13/08/2022, 825000
IP0000000015, EM0000000009, PDC0000000005, 25/10/2022, 1000000
IP0000000016, EM0000000005, PDC0000000006, 21/01/2023, 645000
IP0000000017, EM0000000001, PDC0000000006, 25/07/2023, 599000
IP0000000018, EM0000000009, PDC0000000007, 24/10/2023, 697000
IP0000000019, EM0000000002, PDC0000000007, 01/11/2023, 492000
IP0000000020, EM0000000003, PDC0000000004, 09/11/2023, 150000
IP0000000021, EM0000000005, PDC0000000005, 09/12/2023, 2759000
IP0000000022, EM0000000001, PDC0000000001, 13/12/2023, 350000
IP5060444063, EM0000000005, PDC0000000006, 24/01/2024, 400000
IP7870038555, EM0000000005, PDC0000000006, 24/01/2024, 400000
IP6526697043, EM0000000005, PDC0000000006, 24/01/2024, 400000
IP5063808284, EM0000000001, PDC0000000008, 24/01/2024, 230000
IP0885045164, EM0000000001, PDC0753897212, 29/01/2024, 125000
IP4565156028, EM0000000001, PDC0753897212, 29/01/2024, 127500
